gpu_count,depth,hidden_dim,batch_size,chunks,forward_time_s,backward_time_s,total_step_time_s,throughput_samples_per_s,max_memory_gb,loss
4,8,128,8,1,0.0053806304931640625,-0.0001289844512939453,0.005251646041870117,1523.3319108367004,0.017349720001220703,2.2614524364471436
4,8,128,8,2,0.004114389419555664,0.004967451095581055,0.009081840515136719,880.8787146907487,0.01759195327758789,2.266223907470703
4,8,128,8,4,0.007800102233886719,0.00884866714477539,0.01664876937866211,480.51599599026207,0.017590045928955078,2.277000904083252
4,8,128,32,1,0.002416372299194336,0.00606846809387207,0.008484840393066406,3771.4321681465663,0.01763010025024414,2.3022849559783936
4,8,128,32,2,0.004099369049072266,0.004870891571044922,0.008970260620117188,3567.3433978311714,0.01761484146118164,2.306718587875366
4,8,128,32,4,0.007650852203369141,0.00899362564086914,0.01664447784423828,1922.5595599610383,0.01760721206665039,2.3015100955963135
4,8,256,8,1,0.0024461746215820312,0.002707242965698242,0.0051534175872802734,1552.3678926671294,0.01858377456665039,2.278994560241699
4,8,256,8,2,0.004694938659667969,0.004402875900268555,0.009097814559936523,879.3320579679761,0.019066333770751953,2.309253215789795
4,8,256,8,4,0.007681131362915039,0.008968114852905273,0.016649246215820312,480.50223393286745,0.019062519073486328,2.263552188873291
4,8,256,32,1,0.0024116039276123047,0.0025887489318847656,0.00500035285949707,6399.548371716016,0.019131183624267578,2.2967216968536377
4,8,256,32,2,0.0040264129638671875,0.0049817562103271484,0.009008169174194336,3552.3311542227984,0.019100666046142578,2.2967586517333984
4,8,256,32,4,0.007623195648193359,0.008674860000610352,0.01629805564880371,1963.4243918138066,0.019085407257080078,2.2916762828826904
4,16,128,8,1,0.002667665481567383,0.0033707618713378906,0.0060384273529052734,1324.8482646977534,0.018578052520751953,2.25925874710083
4,16,128,8,2,0.004543781280517578,0.006140232086181641,0.010684013366699219,748.7822904579131,0.018330097198486328,2.277794361114502
4,16,128,8,4,0.008499383926391602,0.010767936706542969,0.01926732063293457,415.21082004133,0.018328189849853516,2.2736170291900635
4,16,128,32,1,0.002691030502319336,0.00347137451171875,0.006162405014038086,5192.7778078693855,0.018368244171142578,2.295086622238159
4,16,128,32,2,0.004532575607299805,0.00612187385559082,0.010654449462890625,3003.4400286430364,0.018352985382080078,2.298365592956543
4,16,128,32,4,0.008647680282592773,0.010802507400512695,0.01945018768310547,1645.2283402794803,0.018345355987548828,2.310037136077881
4,16,256,8,1,0.0027315616607666016,0.0034787654876708984,0.0062103271484375,1288.1769041769041,0.020790576934814453,2.2939467430114746
4,16,256,8,2,0.004487514495849609,0.006468296051025391,0.010955810546875,730.2061281337047,0.022007465362548828,2.296557903289795
4,16,256,8,4,0.008598089218139648,0.010967016220092773,0.019565105438232422,408.8912285832663,0.022003650665283203,2.2832744121551514
4,16,256,32,1,0.002696514129638672,0.0036804676055908203,0.006376981735229492,5018.04793060904,0.022072315216064453,2.2994115352630615
4,16,256,32,2,0.0045092105865478516,0.006744861602783203,0.011254072189331055,2843.4152066605934,0.022041797637939453,2.303194999694824
4,16,256,32,4,0.008590936660766602,0.010964393615722656,0.019555330276489258,1636.3824874117604,0.022026538848876953,2.3017778396606445
4,32,128,8,1,0.003329753875732422,0.004842519760131836,0.008172273635864258,978.9197421011173,0.020542621612548828,2.2666049003601074
4,32,128,8,2,0.00556492805480957,0.008783102035522461,0.014348030090332031,557.567829843802,0.019806385040283203,2.2939703464508057
4,32,128,8,4,0.01049661636352539,0.01469278335571289,0.02518939971923828,317.59391208874416,0.01980447769165039,2.2918813228607178
4,32,128,32,1,0.003345012664794922,0.005202054977416992,0.008547067642211914,3743.974113643337,0.019844532012939453,2.3080220222473145
4,32,128,32,2,0.005499601364135742,0.00864720344543457,0.014146804809570312,2261.994876634758,0.019829273223876953,2.312215805053711
4,32,128,32,4,0.010350227355957031,0.014509439468383789,0.02485966682434082,1287.2256183525305,0.019821643829345703,2.300943374633789
4,32,256,8,1,0.0032427310943603516,0.005292654037475586,0.008535385131835938,937.2746368715084,0.026051044464111328,2.2875843048095703
4,32,256,8,2,0.005498170852661133,0.008730173110961914,0.014228343963623047,562.2579845169074,0.028744220733642578,2.3040897846221924
4,32,256,8,4,0.010461568832397461,0.014340400695800781,0.024801969528198242,322.5550289828602,0.028744220733642578,2.3135886192321777
4,32,256,32,1,0.0035860538482666016,0.005525827407836914,0.009111881256103516,3511.8982678319117,0.028755664825439453,2.297349691390991
4,32,256,32,2,0.0055484771728515625,0.009096622467041016,0.014645099639892578,2185.031224562889,0.028755664825439453,2.297945976257324
4,32,256,32,4,0.010275840759277344,0.015393257141113281,0.025669097900390625,1246.6351612423837,0.028755664825439453,2.297318696975708
